Date,Trading Day,Open,High,Low,Close,Volume,Adj Close
5/15/1998,134,83.19,83.25,79.87,80.31,98584000,18.74
5/18/1998,137,80,81.31,78.37,79.37,44609200,18.52
5/19/1998,138,79.69,80.69,79.06,79.56,36790800,18.57
5/20/1998,139,79.25,79.37,76.5,77,69038000,17.97
5/21/1998,140,76.31,76.56,73.81,74.12,95151600,17.3
5/22/1998,141,74.75,74.75,73.94,74.31,41110800,17.34
5/26/1998,145,75.44,75.87,73.94,74.69,51538000,17.43
5/27/1998,146,73.5,74.44,72.87,74.31,65520000,17.34
5/28/1998,147,73.62,74.87,73.12,73.5,45670800,17.15
5/29/1998,148,73.62,74,71.25,71.44,77225200,16.67
6/1/1998,151,69.12,69.37,67.62,68,108380000,15.87
6/2/1998,152,69,69.44,68.19,69.25,72040400,16.16
6/3/1998,153,70.12,70.69,65.66,65.94,104560000,15.39
6/4/1998,154,67.62,69,66.81,68.19,82716000,15.92
6/5/1998,155,69.19,69.94,67.75,69.81,59046000,16.29
6/8/1998,158,69.94,70,67.75,69.31,70268800,16.18
6/9/1998,159,69.19,70.37,68.62,70.19,51892800,16.38
6/10/1998,160,69.81,70.25,68.31,68.56,48955600,16
6/11/1998,161,68.81,69.37,68.12,68.56,43135600,16
6/12/1998,162,68.44,68.5,65.94,68.44,72079600,15.97
6/15/1998,165,67.25,68.75,66.81,66.87,53234000,15.61
6/16/1998,166,67.75,69.87,67.12,69.81,68256000,16.29
6/17/1998,167,69.87,70.94,68.62,69.25,69139200,16.16
6/18/1998,168,69.12,70.06,68.25,69.69,41916400,16.27
6/19/1998,169,70.62,70.64,68.75,70,68891600,16.34
6/22/1998,172,69.87,74.37,69.69,73.87,80072000,17.24
6/23/1998,173,74.75,75.75,74.31,75.25,75155200,17.56
6/24/1998,174,75.06,77.5,73.27,77.37,76740400,18.06
6/25/1998,175,77.25,77.62,75.12,75.62,55333600,17.65
6/26/1998,176,75.56,77.12,75,76.37,42892800,17.82
6/29/1998,179,76.87,77.25,74.75,75.81,44950000,17.69
6/30/1998,180,74.81,75.37,73.5,74.12,50669200,17.3
7/1/1998,181,74.69,75.37,72.44,75.19,69999600,17.55
7/2/1998,182,74.56,75.12,73.19,73.25,40194000,17.1
7/6/1998,186,72.56,73.94,72.25,73.48,35581600,17.15
7/7/1998,187,73.12,75.31,72.56,75.12,54239600,17.53
7/8/1998,188,75.62,78.31,75.56,78.31,87268000,18.28
7/9/1998,189,77.56,80.37,77.31,79.75,96395200,18.61
7/10/1998,190,79.5,80.5,78.25,79.75,57320000,18.61
7/13/1998,193,79.75,82.5,79.5,82.37,77118400,19.22
7/14/1998,194,82.69,83.37,80.37,80.69,88694000,18.83
7/15/1998,195,81.11,85,80.87,84.25,168073200,19.66
7/16/1998,196,84,84.87,83,84.25,67307200,19.66
7/17/1998,197,83.87,83.94,82.44,83.12,50119200,19.4
7/20/1998,200,82.37,83.06,81.56,81.75,37541600,19.08
